"Step","Annotated step","What to do","Actual example / evidence","Why it matters","Source"
"1","🧭 Define functional acceptance","Write pass/fail gates before running anything.","Functional means load + valid generation; it does not mean production-ready.","Avoids moving goalposts.","https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct"
"2","🔒 Pin identity and revision","Use the exact model ID and capture the resolved commit hash.","Model: Qwen/Qwen2.5-0.5B-Instruct; tested revision is evidence.","Makes results reproducible and auditable.","https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct/tree/main"
"3","🧾 Check model card and license","Read architecture, intended use, limits and license.","0.49B causal LM; Apache-2.0 on its model card.","Confirms eligibility and expected behavior.","https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct"
"4","📦 Validate software prerequisites","Record Python, PyTorch and Transformers versions.","Qwen2 support requires Transformers 4.37 or newer.","Prevents unsupported-architecture errors.","https://huggingface.co/docs/transformers/main/en/model_doc/qwen2"
"5","💾 Check resource fit","Estimate disk/RAM and select CPU/GPU intentionally.","0.49B BF16 weights are roughly 0.98 GB before runtime overhead.","Avoids OOM and unexplained slowdowns.","https://huggingface.co/docs/transformers/main/en/model_doc/qwen2"
"6","⬇️ Resolve tokenizer and weights","Download tokenizer, config and safetensors from the trusted repository.","from_pretrained resolves and caches versioned artifacts.","Verifies artifact availability and integrity path.","https://huggingface.co/docs/transformers/main/en/main_classes/model"
"7","🧠 Load model and enter eval mode","Instantiate AutoModelForCausalLM and call eval().","A successful load confirms architecture and tensor compatibility.","Disables training-only behavior for deterministic inference.","https://pytorch.org/docs/stable/generated/torch.nn.Module.html#torch.nn.Module.eval"
"8","💬 Apply the official chat template","Render system and user messages with apply_chat_template.","Chat templates supply role markers expected by an instruct model.","Testing a raw prompt may test the wrong interface.","https://huggingface.co/docs/transformers/main/en/chat_templating"
"9","⚙️ Generate deterministically","Use inference_mode, do_sample=False and a bounded output.","Same prompt and revision should be stable enough for smoke testing.","Reduces noise and limits runtime/cost.","https://huggingface.co/docs/transformers/main/en/main_classes/text_generation"
"10","✅ Assert a known exact response","Ask for FUNCTIONAL_OK and compare exact output.","The actual run returned exactly FUNCTIONAL_OK.","Proves end-to-end tokenization, forward pass and decoding.","https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct"
"11","🧪 Probe quality contracts","Test arithmetic and structured output separately.","Actual run missed 95% arithmetic and added Markdown around JSON.","Functional runtime is not equivalent to task quality.","https://huggingface.co/docs/evaluate/index"
"12","📊 Capture evidence and verdict","Save prompt, output, revision, versions, timing and memory.","Verdict: functional smoke PASS, quality caveats, not production-ready.","Enables comparison, regression triage and approval.","https://mlflow.org/docs/latest/ml/tracking/"
